ORIGINAL_TITLE,PLOT
Journey Into Dyslexia,"Growing up and surviving school is tough. Being stigmatized as ""learning disabled"" can drive a child right to the edge. Giving hope to students whose dyslexia makes them fear the written word, this enlightening and lighthearted film looks at young people living with learning differences as well as adults who struggled in school, and then succeeded in life. The result is a documentary that addresses the public's misunderstanding of the issue and demonstrates the great potential of each dyslexic individual."
Did Scott Peterson Murder Laci? (Part 2),"A tale of murder, adultery, courtroom drama, and ultimately the death penalty. The story of Scott and Laci Peterson as told by those who lived it. Did Scott Peterson murder Laci?"
Antarctica,"Bourdain travels to the bottom of the world to experience the serene beauty and mystery of the driest, coldest, windiest place on earth."
Siegfried & Roy: Dangerous Illusion (Part 2),"Roy tries to recover from severe wounds inflicted by his beloved tiger Mantacore, but the team's excuses for the animal's behavior lose credibility upon further investigation."
The Kingdom of Dreams and Madness,"Follows the routines of those employed at Studio Ghibli, including filmmakers Hayao Miyazaki, Isao Takahata, and Toshio Suzuki as they work to release two films simultaneously, The Wind Rises and The Tale of the Princess Kaguya."
"Hope, Tragedy, & The New Normal","In the wake of his assassination, Lincoln transforms from a controversial figure at the helm of America's largest crisis to a martyred hero. After his brutal murder, episode 106 follows the epic manhunt for his killer as well as the unraveling of the wife and country he left behind. America is rife with racial conflict, and his assassination sets the stage for the next 100 years of Civil Rights struggles from Jim Crow through Black Lives Matter. Lincoln has been canonized and mythologized as a savior and a hero, but his reality is far more complex. If we must believe he represents who we are as a country, then we should look to his evolution to inspire us to learn, grow, and change the way that he did."
Unmasking Jihadi John: Anatomy of a Terrorist,"The inside story of Mohammed Emwazi's journey from being an ordinary London boy to becoming terrorist 'Jihadi John', and the intelligence operatives' attempts to catch him."
It Takes a Mother,"Mrs. Donald turns the tables on the Klan by filing a suit, stripping them of all their assets."
Murdered Babysitter,"A babysitter is found brutally murdered in Santa Ana, California, with five young children in the home left unscathed. Kenneth Clair, a local burglar is convicted of capital murder and sent to death row."
Lost Vegas,"Every year millions flock to Las Vegas trying to fulfill a dream and win big, but outside and even underground is another world that couldn't be more different. Lisa Ling investigates the dark, shocking and sometimes dangerous underbelly of Sin City that few get to see."
Alternate Endings: Six New Ways to Die in America,"An exploration of the changing attitudes in the United States surrounding death, including the ways it is recognized today and how many approach the end of life."
"Energy Problems, Millennial Problems, Community Policing Problems","Wyatt tries to make coal miners go solar, move millennials into battleships and understand community policing."
Miami beach underwater,"As scientific studies confirm sea level changes throughout the globe, major coastal cities like Miami are now fighting back against these rising tides, before it's too late. Parts of Miami Beach are under serious threat, with major economic and social dangers looming large."
Queen of the World,"A rare look inside the life of Queen Elizabeth II, featuring footage from the Queen's private film archive, as complex preparations for the traditional royal summit with all 53 member states of the British Commonwealth begin."
Waste of the Future,"Innovations are emerging around the world to considerably reduce our waste: development of circular economies, the spread of composting, repair cafes, etc. So, what will it be like in 2050?"
Episode #29.5,"Paddy introduces Chris and Freddie to his latest creation: an electric, all-terrain ice cream van for the 21st century. They also test the battery-powered Honda E, Vauxhall Corsa-e and Mini Electric in a race around a deserted Alton Towers."
Transportation of the Future,"This episode will reveal a future in the making that is as astonishing as it is unexpected: new urban models, eco-mobility, self-driving cars, electric airplanes, revolutionary boats, and more."
A Bird's Eye View of Alaska,"Host Jeff Corwin explores the world of Alaskan birds and their unique relationship to the ocean. Jeff visits the Alaska Raptor Center where a bald eagle named Tahoe is ready to be released back to the wild. Jeff also travels to remote Grotto Island for fieldwork with wild birds, and he visits the Alaska SeaLife Center's bird habitat to meet baby puffin chicks."
Roger & Me,"After General Motors closes its factory in Flint, Michigan, eliminating 35,000 jobs, filmmaker Michael Moore undertakes a quixotic quest to interview General Motors' chairman, Roger B. Smith."
The Price of Progress,"As the pope's temporal power and political influence grows, so does corruption in the church."
Pluto's Heart,"A voyage a decade in the making, the New Horizons probe has traveled to the end of our solar system to reveal a world unlike any other, Pluto. Now, as it heads deep into the Kuiper Belt, those responsible for its magnificent journey share their fears, joy and hope for this piano-sized explorer."
Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,Gloria Vanderbilt and her son Anderson Cooper discuss their notable family's history.
Episode #1.2,1. Adam Schiff on investigating the administration. 2. Move On's use of social media. 3. Tom Steyer on impeachment. 4. Poll on Democrats and Republicans hating. 5. Nita Lowey on investigating Trump. 6. Ads of women running in politics.
RX: Early Detection - A Cancer Journey with Sandra Lee,[HBO] HD. Celebrity TV chef Sandra Lee takes a courageous journey through cancer treatment and recovery.
